Track,Album Name,Artist,Release Date,Spotify Streams,Track Length
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,5/24/2022,"73,82,759",33
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,7/9/2021,"3,10,71,00,349",25
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,12/1/2015,"72,08,22,868",10
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,3/8/2024,"59,10,68,364",40
Numb / Encore,Papercuts,JAY-Z,4/12/2024,"1,00,32,15,671",13
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,5/14/2024,"1,64,50,79,292",20
SHEESH,BABYMONS7ER,BABYMONSTER,4/1/2024,"12,48,93,397",6
Water,Water,Tyla,7/28/2023,"67,03,76,179",5
Strangers,Strangers,Kenya Grace,9/1/2023,"75,01,54,960",9
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,"53,20,12,790",9
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,4/26/2024,"47,94,17,905",45
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,"31,19,28,522",18
Lose Control,Lose Control,Teddy Swims,6/23/2023,"77,51,35,157",12
fukumean,fukumean,Gunna,6/15/2023,"75,99,98,727",8
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,"3,07,12,14,106",12
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"21,42,37,645",18
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,"17,09,70,614",53
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,"1,65,82,29,422",15
Daylight,Daylight,David Kushner,4/14/2023,"1,12,68,20,069",8
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,"99,77,02,304",21
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,"5,93,14,441",20
Houdini,Houdini - Single,Dua Lipa,11/9/2023,"49,36,27,071",7
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,5/2/2024,"1,65,55,75,417",20
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,"30,49,29,492",19
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,"1,74,70,93,405",9
euphoria,euphoria,Kendrick Lamar,4/30/2024,"16,84,34,320",8
Panda Basi,Panda Basi - EP,Mvua,2/10/2023,"1,04,271",10
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,"1,39,16,88,322",29
Shape of You,Shape of You,Ed Sheeran,1/6/2017,"3,90,94,58,734",12
Mitu,Mitu - Single,Maian,1/19/2023,"55,346",4
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,"4,28,14,68,720",15
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,"1,33,76,19,917",38
Dona Felicidade,Dona Felicidade,Patati Patatï¿,6/4/2024,,15
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,4/29/2024,"1,65,55,75,417",20
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,"1,55,62,75,789",25
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,6/5/2024,,21
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,12/31/2023,"1,384",40
Supernova,Supernova,aespa,5/13/2024,"6,97,29,033",9
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,81,19,90,630",15
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,3/29/2024,"19,99,29,812",49
Calm Down,Calm Down,Rema,2/10/2022,"58,44,27,088",9
CARNIVAL,CARNIVAL,ýý$,2/8/2024,"46,68,87,055",8
Kill Bill,SOS,SZA,12/8/2022,"1,87,37,46,537",9
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,7/13/2023,"89,17,20,245",55
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,3/3/2023,"46,567",5
Heat Waves,Heat Waves,Glass Animals,6/29/2020,"2,99,61,81,078",10
In the End,Papercuts,Linkin Park,4/12/2024,"2,04,55,12,421",10
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,"94,69,41,510",37
The Way We Move - Extended Mix,The Way We Move,PowerDress,3/10/2023,"7,909",30
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,"1,01,04,94,713",13
un x100to,un x100to,Grupo Frontera,4/17/2023,"1,00,84,95,696",9
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,4/24/2020,,20
Sprinter,Sprinter - Single,Dave,6/1/2023,"69,25,12,930",8
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"16,94,10,711",7
TQG,TQG,KAROL G,2/23/2023,"1,02,43,81,758",3
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,"2,96,99,99,682",7
Pepas,Pepas,Farruko,6/24/2021,"1,50,04,99,584",5
Peekaboo,Glide - Single,Dave Angel,1/27/2023,"8,082",8
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,"1,21,53,36,974",15
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,5/25/2023,"86,00,26,452",39
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,"1,03,22,25,805",15
redrum,american dream,21 Savage,1/12/2024,"42,82,33,003",6
Easy On Me,Easy On Me,Adele,10/14/2021,"1,72,09,18,065",10
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,51,42,39,759",18
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,"33,32,02,114",27
Anti-Hero,Midnights,Taylor Swift,10/21/2022,"1,56,32,24,246",9
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,"1,69,29,51,462",37
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,"25,50,76,355",8
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,"27,53,49,653",8
La Diabla,La Diabla - Single,Xavi,12/2/2023,"64,94,04,552",9
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,"85,10,85,705",18
Snooze,SOS,SZA,12/9/2022,"1,01,33,50,808",6
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,"35,98,03,580",8
Agora Hills,Scarlet,Doja Cat,9/22/2023,"50,96,53,100",11
Prada,Prada,cassï¿,8/11/2023,"60,96,99,748",5
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,5/2/2024,"51,57,486",20
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,"24,20,70,373",13
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,"47,81,50,858",6
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,"6,13,82,407",18
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,6/15/2023,"46,01,56,070",28
Training Season,Training Season,Dua Lipa,2/15/2024,"25,11,53,869",15
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,"20,52,06,688",9
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,"3,29,42,304",10
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,"1,91,15,59,785",7
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,"2,01,49,59,725",33
Pedro,Pedro - Single,Jaxomy,3/29/2024,"16,81,45,583",5
Fast Car,Gettin' Old,Luke Combs,3/24/2023,"51,89,88,585",8
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,"24,73,99,972",20
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,"57,12,985",9
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,"3,35,87,04,125",45
Hands,Hands,Dianï¿½,8/1/2022,"1,26,914",5
Saturn,Saturn - Single,SZA,2/24/2024,"34,30,90,427",6
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,6/4/2024,,40
Believer,Believer,Imagine Dragons,1/31/2017,"3,00,62,26,762",8
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,"78,71,55,930",31
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,"53,26,05,345",8
ANDO,ANDO,Jere Klein,9/27/2023,"29,27,89,738",4
First Class,First Class,Jack Harlow,4/8/2022,"81,88,58,244",11
FE!N,UTOPIA,Travis Scott,7/28/2023,"65,90,10,786",4
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,3/3/2023,"39,13,988",22
Losing Interest - Original Mix,Losing Interest (Original),Goovex,6/10/2024,"12,62,47,886",30
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,5/13/2022,"1,60,74,21,145",15
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,"43,87,96,949",19
Drained of Color,Drained of Color,Exhumed,8/30/2022,"1,58,627",16
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,7/24/2020,"1,86,77,36,006",22
Dynamite,Dynamite,BTS,8/21/2020,"1,87,25,77,908",8
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,12/10/2023,"8,327",35
Someone You Loved,Breach,Lewis Capaldi,11/8/2018,"3,42,74,98,835",17
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,5/11/2023,"23,08,49,195",10
Made You Look,Takin' It Back,Meghan Trainor,10/21/2022,"72,07,20,922",13
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,6/22/2023,"13,78,494",41
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,5/29/2024,"28,27,545",43
vampire,vampire,Olivia Rodrigo,6/30/2023,"99,89,64,097",7
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,3/1/2024,"3,71,57,630",13
Back,Back,LOLA,8/3/2022,"48,428",4
People,People - Single,Libianca,12/5/2022,"63,19,55,547",6
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,1/5/2024,,23
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,3/17/2024,"9,46,35,338",43
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,4/5/2024,"11,45,74,238",18
Abc,Abc,J Ross,2/14/2023,"31,867",3
La Bachata,La Bachata,Manuel Turizo,5/26/2022,"1,72,10,45,197",10
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,4/7/2023,"80,28,757",21
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,3/19/2021,"1,61,22,86,123",38
Don't Start Now,Don't Start Now,Dua Lipa,10/31/2019,"2,60,71,21,959",15
Lucid Dreams,Lucid Dreams,Juice WRLD,5/4/2018,"2,54,83,89,305",12
PROVENZA,PROVENZA,KAROL G,4/22/2022,"1,18,59,29,926",8
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,8/7/2020,"1,32,57,25,696",31
SPOT!,SPOT!,ZICO,4/26/2024,"7,77,57,035",5
Family Matters,Family Matters,Drake,5/3/2024,"7,23,35,127",14
Again,Missing,Kurochuu,6/9/2024,"13,62,37,285",5
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,7/14/2023,"1,67,35,57,134",35
Last Night,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,"92,20,10,059",10
Too Sweet,Unreal Unearth: Unheard,Hozier,3/22/2024,"53,20,12,790",9
Bad Habits,#NAME?,Ed Sheeran,1/1/2020,"1,75,43,11,538",10
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,8/10/2023,"85,08,10,162",5
Leave The Door Open,Leave The Door Open,Bruno Mars,3/5/2021,"1,31,21,68,384",19
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),1/5/2022,"5,48,408",18
good 4 u,good 4 u,Olivia Rodrigo,5/14/2021,"2,16,77,68,056",8
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,3/29/2019,"2,51,68,04,300",7
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,5/25/2018,"2,73,82,93,818",9
DESPECHï¿,DESPECHï¿,ROSALï¿½,7/28/2022,"1,00,34,87,432",9
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,4/17/2020,"1,63,88,36,101",28
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,3/23/2023,"37,24,23,476",11
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,8/24/2023,"63,03,73,315",45
Circles,Circles,Post Malone,8/30/2019,"2,48,13,91,466",7
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,8/3/2023,"47,45,90,289",18
About Damn Time,About Damn Time,Lizzo,4/14/2022,"84,70,25,688",15
Closer,Closer,The Chainsmokers,7/29/2016,"2,88,05,36,961",6
FLOWER,ME,JISOO,3/31/2023,"44,03,64,356",6
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,"68,91,81,455",11
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,10/6/2023,"37,22,48,119",39
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,"2,07,21,82,782",25
LUNA,FERXXOCALIPSIS,Feid,12/1/2023,"60,61,24,553",4
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,6/3/2022,"82,79,50,825",43
Bones,Bones,Imagine Dragons,3/11/2022,"1,22,74,75,431",5
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,8/17/2023,"57,13,66,508",13
Selfish,Selfish,Justin Timberlake,1/25/2024,"9,29,32,220",7
golden hour,golden hour,JVKE,7/15/2022,"1,12,69,86,320",11
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,3/27/2020,"2,07,47,21,986",25
Get It Sexyy,Get It Sexyy,Sexyy Red,3/15/2024,"8,93,62,910",12
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,10/18/2023,"2,66,74,909",23
IDGAF (feat. Yeat),For All The Dogs,Drake,10/6/2023,"40,68,75,019",18
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,42,17,63,497",13
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,1/10/2020,"1,23,78,74,594",26
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,10/12/2022,"80,49,25,777",9
Stargazing,Stargazing,Myles Smith,5/10/2024,"10,65,99,323",10
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,6/17/2022,"97,14,73,231",29
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,"1,12,56,81,368",23
Memories,Memories,Maroon 5,9/20/2019,"2,01,10,72,164",8
Classy 101,Classy 101,Feid,3/31/2023,"87,21,48,396",10
Whatever,Whatever,Kygo,1/19/2024,"22,23,54,971",8
Whatever She Wants,Whatever She Wants,Bryson Tiller,2/13/2024,"20,70,93,873",18
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,8/4/2023,"36,15,17,395",32
"yes, and?","yes, and?",Ariana Grande,1/12/2024,"41,68,13,996",9
Without Me,Without Me,Halsey,10/4/2018,"2,04,27,92,456",10
meet the grahams,meet the grahams,Kendrick Lamar,5/3/2024,"6,55,20,394",16
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,10/6/2023,"32,85,26,298",36
Shallow,Shallow,Lady Gaga,9/27/2018,"2,44,79,73,078",7
Thunder,Thunder,Imagine Dragons,4/27/2017,"2,38,47,68,901",7
Rush,Rush,Ayra Starr,9/16/2022,"37,18,86,608",4
abcdefu,abcdefu,GAYLE,8/13/2021,"1,12,82,73,165",7
Buga,Buga,Kizz Daniel,5/3/2022,"8,65,16,910",4
Bad Habit,Bad Habit,Steve Lacy,6/29/2022,"1,08,79,38,471",9
MONEY,LALISA,LISA,9/10/2021,"1,18,93,35,848",5
Columbia,Columbia,Quevedo,7/7/2023,"72,10,02,940",8
LADY GAGA,LADY GAGA,Peso Pluma,6/22/2023,"68,42,04,777",9
Woman,Planet Her,Doja Cat,6/25/2021,"1,60,69,50,381",5
CUFF IT,RENAISSANCE,Beyoncï¿,7/29/2022,"79,59,60,535",7
KING KONG,KING KONG,TREASURE,5/28/2024,"80,78,265",9
How You Like That,How You Like That,BLACKPINK,6/25/2020,"1,03,31,09,188",17
Milf Song,Milf Song,The Puddleducks,8/19/2022,"11,65,982",9
Nasty,Nasty,Tinashe,4/12/2024,"3,16,12,906",5
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,12/2/2022,"70,63,56,280",29
Panda,Panda,Desiigner,2/26/2016,"1,18,13,48,550",5
Push Ups,Push Ups,Drake,4/19/2024,"10,77,62,230",8
Tattoo,Tattoo,Loreen,2/25/2023,"51,88,46,340",6
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,4/9/2021,"1,82,38,71,908",24
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,3/17/2023,"10,27,72,879",41
Gata Only,Gata Only - Single,FloyyMenor,12/21/2023,"46,74,619",9
Illusion,Illusion,Dua Lipa,4/11/2024,"10,85,01,771",8
drivers license,drivers license,Olivia Rodrigo,1/8/2021,"2,18,47,54,018",15
Used To Be Young,Endless Summer Vacation,Miley Cyrus,8/18/2023,"20,54,68,104",16
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,"86,13,88,470",17
How Sweet,How Sweet,NewJeans,5/24/2024,"3,35,95,707",9
Players,Players,Coi Leray,11/30/2022,"46,55,88,517",7
rockstar (feat. 21 Savage),rockstar,Post Malone,9/15/2017,"2,96,00,46,642",26
Lil Somethin Somethin,Lil Somethin Somethin,Vayah,3/11/2023,"11,648",21
Con Calma,Con Calma,Daddy Yankee,1/24/2019,"1,35,30,28,938",9
Here With Me,Here With Me,d4vd,7/20/2022,"1,04,23,11,849",12
Favorite Song,Favorite Song,Toosii,2/17/2023,"18,65,79,651",13
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,3/9/2024,"15,81,31,138",16
Mele Kalikimaka,"Essential Classics, Vol. 166: Bing Crosby",Bing Crosby,6/5/2024,"18,61,23,398",15
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,3/26/2021,"1,90,22,41,314",30
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,3/3/2023,"42,761",23
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,"40,68,21,432",51
Si No Estï¿½,Si No Estï¿½ï¿½s - Si,iï¿½ï¿½igo quin,9/22/2022,"66,57,16,137",12
Glimpse of Us,Glimpse of Us,Joji,6/10/2022,"1,26,23,08,912",13
Watermelon Sugar,Watermelon Sugar,Harry Styles,11/17/2019,"2,70,81,51,499",16
Corazï¿½ï¿½n de Pi,Corazï¿½ï¿½n de Piedra - Si,Xavi,3/23/2024,"17,21,64,034",18
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,12/27/2023,"29,88,53,393",27
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,5/18/2023,"71,78,49,037",14
Yandel 150,Yandel 150,Yandel,12/20/2022,"83,75,76,264",10
THATS WHAT I WANT,MONTERO,Lil Nas X,9/17/2021,"1,06,20,95,453",17
Todo De Ti,Todo De Ti,Rauw Alejandro,5/20/2021,"1,33,93,52,060",10
Chemical,Chemical,Post Malone,4/14/2023,"50,35,74,147",8
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,1/1/2015,"1,89,19,20,348",34
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,9/12/2018,"1,48,69,29,795",32
Shooting Star,Kep1going On,Kep1er,6/3/2024,"15,34,062",13
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,11/20/2011,"1,99,30,30,264",11
Dog's Plan,Thoughts Feelings,David Jackson,3/2/2023,,10
love nwantiti (ah ah ah),CKay The First,CKay,8/30/2019,"85,34,51,422",24
Mi Gente,Mi Gente,J Balvin,6/30/2017,"1,47,84,42,472",8
Late Night Talking,Harry's House,Harry Styles,5/20/2022,"95,96,39,297",18
Miss You,Miss You,Oliver Tree,8/5/2022,"63,13,78,937",8
girls like me don't cry,Girls Like Me Don't Cry,thï¿½ï,10/6/2022,"6,99,31,412",23
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,10/20/2020,"23,00,838",27
Dakiti,Dakiti,Bad Bunny,1/1/2020,"1,97,79,47,460",6
Starboy,Starboy,The Weeknd,9/22/2016,"3,29,12,62,413",7
Sorry,Sorry,Justin Bieber,10/23/2015,"2,08,94,76,497",5
Calling My Phone,Calling My Phone,Lil Tjay,2/12/2021,"77,70,64,903",16
Pink Venom,Pink Venom,BLACKPINK,8/19/2022,"73,64,69,450",10
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"25,04,30,303",31
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2/9/2019,"1,65,63,85,770",32
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,12/2/2022,"68,28,37,690",49
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,"34,76,47,880",22
California Gurls,Girl Power 2023,Katy Perry,9/19/2023,,16
Moscow Mule,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,10,80,31,580",11
Something Just Like This,Something Just Like This,The Chainsmokers,2/22/2017,"2,59,66,44,721",24
7 rings,7 rings,Ariana Grande,1/18/2019,"2,26,24,90,403",7
Moonlight,Moonlight,Kali Uchis,2/24/2023,"70,15,58,859",9
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,6/11/2020,"1,11,80,38,333",32
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,"5,81,57,068",55
God's Plan,Diplomatic Immunity,Drake,1/20/2018,"2,52,99,48,475",10
Sunroof,Sunroof,Nicky Youre,11/26/2021,"87,97,08,559",7
La Vï¿½ï¿½c,La Vï¿½ï¿½c,Xavi,8/19/2023,"52,11,16,293",11
MY EYES,UTOPIA,Travis Scott,7/28/2023,"40,31,32,906",7
WORK,GOLDEN HOUR : Part.1,ATEEZ,5/31/2024,"1,01,35,326",4
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,4/17/2017,"1,71,32,94,983",17
Ghost,Justice,Justin Bieber,3/19/2021,"1,58,68,30,204",5
Dior,Meet The Woo,Pop Smoke,7/26/2019,"1,07,04,22,470",4
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,9/30/2022,"72,08,22,868",14
Breakeven,Breakeven (Official 4K Video),The Script,4/25/2024,"85,89,79,483",9
Una Noche en Medellï¿½,Una Noche en Medellï¿½,Cris Mj,1/21/2022,"83,94,05,565",22
SAD!,SAD!,XXXTENTACION,3/2/2018,"2,21,85,31,106",4
Primera Cita,La Primera Cita - Single,Carin Leon,4/20/2023,"59,80,06,591",12
Efecto,Un Verano Sin Ti,Bad Bunny,5/6/2022,"1,29,37,73,697",6
Dame Tu Cosita,Dame Tu Cosita,El Chombo,4/23/2018,,14
Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Isadora Pompeo,11/9/2023,"9,55,36,146",52
Slow It Down,Slow It Down,Benson Boone,3/22/2024,"20,26,67,139",12
